year,sex,cause,qimd,agegroup,deaths
2001,1,C180,1,35-39,1
2001,1,C180,1,45-49,3
2001,1,C180,1,50-54,3
2001,1,C180,1,55-59,2
2001,1,C180,1,60-64,8
2001,1,C180,1,65-69,12
2001,1,C180,1,70-74,10
2001,1,C180,1,75-79,16
2001,1,C180,1,80-84,15
2001,1,C180,1,85-89,14
2001,1,C180,1,90+,3
2001,1,C180,2,50-54,2
2001,1,C180,2,55-59,5
2001,1,C180,2,60-64,9
2001,1,C180,2,65-69,9
2001,1,C180,2,70-74,15
2001,1,C180,2,75-79,15
2001,1,C180,2,80-84,16
2001,1,C180,2,85-89,13
2001,1,C180,2,90+,7
2001,1,C180,3,35-39,2
2001,1,C180,3,40-44,1
2001,1,C180,3,45-49,1
2001,1,C180,3,50-54,4
2001,1,C180,3,55-59,4
2001,1,C180,3,60-64,4
2001,1,C180,3,65-69,7
2001,1,C180,3,70-74,15
2001,1,C180,3,75-79,15
2001,1,C180,3,80-84,17
2001,1,C180,3,85-89,20
2001,1,C180,3,90+,4
2001,1,C180,4,30-34,1
2001,1,C180,4,45-49,2
2001,1,C180,4,50-54,5
2001,1,C180,4,55-59,5
2001,1,C180,4,60-64,9
2001,1,C180,4,65-69,12
2001,1,C180,4,70-74,17
2001,1,C180,4,75-79,25
2001,1,C180,4,80-84,17
2001,1,C180,4,85-89,17
2001,1,C180,4,90+,4
2001,1,C180,5,40-44,1
2001,1,C180,5,50-54,7
2001,1,C180,5,55-59,8
2001,1,C180,5,60-64,4
2001,1,C180,5,65-69,11
2001,1,C180,5,70-74,16
2001,1,C180,5,75-79,16
2001,1,C180,5,80-84,9
2001,1,C180,5,85-89,4
2001,1,C180,5,90+,9
2001,1,C181,1,45-49,2
2001,1,C181,1,50-54,1
2001,1,C181,1,60-64,1
2001,1,C181,1,75-79,1
2001,1,C181,2,70-74,1
2001,1,C181,3,30-34,1
2001,1,C181,3,50-54,1
2001,1,C181,4,40-44,1
2001,1,C181,4,50-54,1
2001,1,C181,4,55-59,1
2001,1,C181,4,60-64,2
2001,1,C181,4,65-69,1
2001,1,C181,5,50-54,1
2001,1,C181,5,65-69,1
2001,1,C181,5,70-74,1
2001,1,C182,1,50-54,1
2001,1,C182,1,55-59,1
2001,1,C182,1,60-64,1
2001,1,C182,1,70-74,1
2001,1,C182,1,75-79,2
2001,1,C182,1,80-84,1
2001,1,C182,2,45-49,1
2001,1,C182,2,60-64,1
2001,1,C182,2,65-69,1
2001,1,C182,2,70-74,3
2001,1,C182,2,75-79,4
2001,1,C182,2,80-84,3
2001,1,C182,2,90+,1
2001,1,C182,3,55-59,1
2001,1,C182,3,60-64,1
2001,1,C182,3,65-69,1
2001,1,C182,3,70-74,1
2001,1,C182,3,75-79,3
2001,1,C182,3,80-84,3
2001,1,C182,3,85-89,2
2001,1,C182,4,50-54,1
2001,1,C182,4,60-64,1
2001,1,C182,4,70-74,4
2001,1,C182,4,75-79,2
2001,1,C182,4,80-84,3
2001,1,C182,4,85-89,1
2001,1,C182,5,55-59,1
2001,1,C182,5,60-64,1
2001,1,C182,5,70-74,2
2001,1,C182,5,75-79,1
