year,sex,qimd,agegroup,deaths,agegrp,C18,C19,C20,C33,C34,C50,E11,F00_03,I20_25,I48,I60_69,J40_47,N390,pops
2001,men,1 most deprived,<1,676,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,71055
2001,men,1 most deprived,01-04,126,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,297314
2001,men,1 most deprived,05-09,63,05-09,0,0,0,0,0,0,0,0,0,0,1,0,0,376326
2001,men,1 most deprived,10-14,91,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,377130
2001,men,1 most deprived,15-19,246,15-19,1,0,0,0,0,0,0,0,0,0,3,0,0,344892
2001,men,1 most deprived,20-24,395,20-24,0,0,0,0,0,0,0,0,1,0,3,0,1,336092
2001,men,1 most deprived,25-29,509,25-29,1,0,0,0,1,0,0,0,7,0,5,0,0,372374
2001,men,1 most deprived,30-34,707,30-34,1,0,3,0,4,0,1,0,29,0,12,2,0,409642
2001,men,1 most deprived,35-39,871,35-39,1,0,2,0,7,0,0,0,75,0,17,10,2,375509
2001,men,1 most deprived,40-44,1108,40-44,7,3,7,0,30,0,0,0,191,0,38,9,0,315753
2001,men,1 most deprived,45-49,1568,45-49,17,2,8,0,97,0,2,1,352,0,65,21,1,270109
2001,men,1 most deprived,50-54,2321,50-54,41,5,23,0,189,0,4,3,591,0,100,61,1,269424
2001,men,1 most deprived,55-59,2867,55-59,52,11,34,0,330,2,6,2,743,0,155,121,2,220595
2001,men,1 most deprived,60-64,4124,60-64,86,10,50,1,519,2,4,7,1127,7,233,228,7,207058
2001,men,1 most deprived,65-69,5800,65-69,107,15,68,0,749,0,16,23,1621,8,383,346,6,184660
2001,men,1 most deprived,70-74,7883,70-74,141,29,71,1,869,3,24,45,2119,23,613,678,28,158924
2001,men,1 most deprived,75-79,9695,75-79,163,18,83,0,927,2,24,115,2402,35,896,842,42,124724
2001,men,1 most deprived,80-84,7907,80-84,121,12,49,1,522,4,29,143,1886,34,869,692,41,73591
2001,men,1 most deprived,85-89,5436,85-89,81,6,29,0,242,1,13,158,1127,32,686,462,45,31209
2001,men,1 most deprived,90+,2689,90+,25,0,10,0,74,0,4,110,451,10,315,139,37,11211
2001,men,2,<1,359,<1,0,0,0,0,0,0,0,0,1,0,0,0,0,58555
2001,men,2,01-04,61,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,243576
2001,men,2,05-09,32,05-09,0,0,0,0,0,0,0,0,0,0,1,0,0,318012
2001,men,2,10-14,77,10-14,0,0,0,0,0,0,0,0,1,0,1,0,0,325172
2001,men,2,15-19,178,15-19,0,0,0,0,0,0,0,0,0,0,1,1,0,305146
2001,men,2,20-24,236,20-24,1,0,0,0,0,0,0,0,1,0,3,1,0,336377
2001,men,2,25-29,343,25-29,0,0,0,0,1,0,0,0,4,0,9,0,0,388189
2001,men,2,30-34,501,30-34,0,0,0,0,2,0,0,0,19,1,11,0,0,423761
2001,men,2,35-39,604,35-39,2,0,3,0,10,0,0,0,48,1,19,4,0,395267
2001,men,2,40-44,708,40-44,5,2,2,0,20,0,0,0,104,0,30,4,0,332952
2001,men,2,45-49,1066,45-49,18,2,7,0,54,0,0,1,234,0,48,9,2,288720
2001,men,2,50-54,1645,50-54,30,2,18,0,134,1,3,0,412,0,73,40,1,297958
2001,men,2,55-59,2262,55-59,49,6,31,0,237,0,3,4,572,0,107,71,1,246931
2001,men,2,60-64,3231,60-64,66,8,33,0,396,2,2,5,914,2,154,138,4,215525
2001,men,2,65-69,4627,65-69,131,18,51,0,528,2,11,23,1267,3,284,284,11,190932
2001,men,2,70-74,6858,70-74,171,11,68,2,686,1,12,43,1824,12,535,500,20,167473
2001,men,2,75-79,8954,75-79,190,12,91,1,789,2,20,134,2274,29,828,676,39,133424
