age,sex,qimd,year,pops
0,men,1 most deprived,2001,71055
1,men,1 most deprived,2001,72776
2,men,1 most deprived,2001,73773
3,men,1 most deprived,2001,74622
4,men,1 most deprived,2001,76143
5,men,1 most deprived,2001,74484
6,men,1 most deprived,2001,73756
7,men,1 most deprived,2001,74733
8,men,1 most deprived,2001,75900
9,men,1 most deprived,2001,77453
10,men,1 most deprived,2001,78111
11,men,1 most deprived,2001,76192
12,men,1 most deprived,2001,74505
13,men,1 most deprived,2001,75101
14,men,1 most deprived,2001,73221
15,men,1 most deprived,2001,72788
16,men,1 most deprived,2001,72899
17,men,1 most deprived,2001,68206
18,men,1 most deprived,2001,65424
19,men,1 most deprived,2001,65575
20,men,1 most deprived,2001,69128
21,men,1 most deprived,2001,70112
22,men,1 most deprived,2001,67289
23,men,1 most deprived,2001,64629
24,men,1 most deprived,2001,64934
25,men,1 most deprived,2001,69348
26,men,1 most deprived,2001,71523
27,men,1 most deprived,2001,73447
28,men,1 most deprived,2001,77653
29,men,1 most deprived,2001,80403
30,men,1 most deprived,2001,82400
31,men,1 most deprived,2001,81362
32,men,1 most deprived,2001,82181
33,men,1 most deprived,2001,81465
34,men,1 most deprived,2001,82234
35,men,1 most deprived,2001,79161
36,men,1 most deprived,2001,77725
37,men,1 most deprived,2001,75072
38,men,1 most deprived,2001,73267
39,men,1 most deprived,2001,70284
40,men,1 most deprived,2001,67291
41,men,1 most deprived,2001,64539
42,men,1 most deprived,2001,62960
43,men,1 most deprived,2001,61544
44,men,1 most deprived,2001,59419
45,men,1 most deprived,2001,56238
46,men,1 most deprived,2001,54163
47,men,1 most deprived,2001,54037
48,men,1 most deprived,2001,53355
49,men,1 most deprived,2001,52316
50,men,1 most deprived,2001,51806
51,men,1 most deprived,2001,52073
52,men,1 most deprived,2001,52756
53,men,1 most deprived,2001,55483
54,men,1 most deprived,2001,57306
55,men,1 most deprived,2001,46521
56,men,1 most deprived,2001,44861
57,men,1 most deprived,2001,44164
58,men,1 most deprived,2001,43712
59,men,1 most deprived,2001,41337
60,men,1 most deprived,2001,40017
61,men,1 most deprived,2001,41886
62,men,1 most deprived,2001,42111
63,men,1 most deprived,2001,42143
64,men,1 most deprived,2001,40901
65,men,1 most deprived,2001,39783
66,men,1 most deprived,2001,37865
67,men,1 most deprived,2001,36212
68,men,1 most deprived,2001,35463
69,men,1 most deprived,2001,35337
70,men,1 most deprived,2001,34662
71,men,1 most deprived,2001,33489
72,men,1 most deprived,2001,31500
73,men,1 most deprived,2001,29990
74,men,1 most deprived,2001,29283
75,men,1 most deprived,2001,28070
76,men,1 most deprived,2001,26361
77,men,1 most deprived,2001,24661
78,men,1 most deprived,2001,23279
79,men,1 most deprived,2001,22353
80,men,1 most deprived,2001,21123
81,men,1 most deprived,2001,20028
82,men,1 most deprived,2001,13315
83,men,1 most deprived,2001,9948
84,men,1 most deprived,2001,9177
85,men,1 most deprived,2001,8176
86,men,1 most deprived,2001,7534
87,men,1 most deprived,2001,6340
88,men,1 most deprived,2001,5143
89,men,1 most deprived,2001,4016
90,men,1 most deprived,2001,2981.5684079608
91,men,1 most deprived,2001,2374.67197080519
92,men,1 most deprived,2001,1863.6167253143
93,men,1 most deprived,2001,1435.2786677412
94,men,1 most deprived,2001,1080.37630367126
95,men,1 most deprived,2001,791.391943270258
96,men,1 most deprived,2001,553.809847189369
97,men,1 most deprived,2001,355.887718879086
98,men,1 most deprived,2001,201.528063415616
99,men,1 most deprived,2001,96.4973056263785
100,men,1 most deprived,2001,37.492024475347
0,men,1 most deprived,2002,73775
1,men,1 most deprived,2002,70986
2,men,1 most deprived,2002,72207
3,men,1 most deprived,2002,72620
4,men,1 most deprived,2002,73334
5,men,1 most deprived,2002,75901
6,men,1 most deprived,2002,73874
7,men,1 most deprived,2002,73252
8,men,1 most deprived,2002,74059
9,men,1 most deprived,2002,74913
10,men,1 most deprived,2002,76555
11,men,1 most deprived,2002,77132
12,men,1 most deprived,2002,74825
13,men,1 most deprived,2002,73281
14,men,1 most deprived,2002,73810
15,men,1 most deprived,2002,71962
16,men,1 most deprived,2002,71552
17,men,1 most deprived,2002,72498
18,men,1 most deprived,2002,70053
19,men,1 most deprived,2002,71745
20,men,1 most deprived,2002,69399
21,men,1 most deprived,2002,71271
22,men,1 most deprived,2002,71846
23,men,1 most deprived,2002,69316
24,men,1 most deprived,2002,66152
25,men,1 most deprived,2002,68297
26,men,1 most deprived,2002,71253
27,men,1 most deprived,2002,73435
28,men,1 most deprived,2002,74306
29,men,1 most deprived,2002,77629
30,men,1 most deprived,2002,80333
31,men,1 most deprived,2002,81725
32,men,1 most deprived,2002,80380
33,men,1 most deprived,2002,80965
34,men,1 most deprived,2002,80482
35,men,1 most deprived,2002,80432
36,men,1 most deprived,2002,78529
37,men,1 most deprived,2002,76366
38,men,1 most deprived,2002,74591
39,men,1 most deprived,2002,72215
40,men,1 most deprived,2002,70313
41,men,1 most deprived,2002,67397
42,men,1 most deprived,2002,65129
43,men,1 most deprived,2002,62412
44,men,1 most deprived,2002,61125
45,men,1 most deprived,2002,58780
46,men,1 most deprived,2002,55825
47,men,1 most deprived,2002,53428
48,men,1 most deprived,2002,53276
49,men,1 most deprived,2002,52756
50,men,1 most deprived,2002,52726
51,men,1 most deprived,2002,51713
52,men,1 most deprived,2002,52156
53,men,1 most deprived,2002,52355
54,men,1 most deprived,2002,54754
55,men,1 most deprived,2002,56658
56,men,1 most deprived,2002,46179
57,men,1 most deprived,2002,44572
58,men,1 most deprived,2002,43428
59,men,1 most deprived,2002,42812
60,men,1 most deprived,2002,40349
61,men,1 most deprived,2002,39276
62,men,1 most deprived,2002,41286
63,men,1 most deprived,2002,40848
64,men,1 most deprived,2002,41230
65,men,1 most deprived,2002,39712
66,men,1 most deprived,2002,38328
67,men,1 most deprived,2002,36699
68,men,1 most deprived,2002,34580
69,men,1 most deprived,2002,34090
70,men,1 most deprived,2002,33538
71,men,1 most deprived,2002,32881
72,men,1 most deprived,2002,31614
73,men,1 most deprived,2002,29458
74,men,1 most deprived,2002,27964
75,men,1 most deprived,2002,27683
76,men,1 most deprived,2002,26043
77,men,1 most deprived,2002,24088
78,men,1 most deprived,2002,22406
79,men,1 most deprived,2002,21140
80,men,1 most deprived,2002,20384
81,men,1 most deprived,2002,18883
82,men,1 most deprived,2002,17453
83,men,1 most deprived,2002,11825
84,men,1 most deprived,2002,8770
85,men,1 most deprived,2002,7783
86,men,1 most deprived,2002,6965
87,men,1 most deprived,2002,6539
88,men,1 most deprived,2002,5262
89,men,1 most deprived,2002,4069
90,men,1 most deprived,2002,3029.91795479941
91,men,1 most deprived,2002,2375.98320919628
92,men,1 most deprived,2002,1842.40676917325
93,men,1 most deprived,2002,1411.36757259155
94,men,1 most deprived,2002,1067.06288956614
95,men,1 most deprived,2002,795.207639709779
96,men,1 most deprived,2002,573.519970137864
97,men,1 most deprived,2002,383.181613872514
98,men,1 most deprived,2002,226.549198749982
99,men,1 most deprived,2002,113.223293558361
100,men,1 most deprived,2002,45.6917778749251
0,men,1 most deprived,2003,76465
1,men,1 most deprived,2003,72974
2,men,1 most deprived,2003,70352
3,men,1 most deprived,2003,71387
4,men,1 most deprived,2003,71734
5,men,1 most deprived,2003,72925
6,men,1 most deprived,2003,75030
7,men,1 most deprived,2003,73549
8,men,1 most deprived,2003,72419
9,men,1 most deprived,2003,73284
10,men,1 most deprived,2003,74324
11,men,1 most deprived,2003,75359
12,men,1 most deprived,2003,76062
13,men,1 most deprived,2003,73654
14,men,1 most deprived,2003,72071
15,men,1 most deprived,2003,72545
16,men,1 most deprived,2003,71533
17,men,1 most deprived,2003,72079
18,men,1 most deprived,2003,74236
19,men,1 most deprived,2003,75429
20,men,1 most deprived,2003,73437
21,men,1 most deprived,2003,71128
22,men,1 most deprived,2003,73011
23,men,1 most deprived,2003,73967
24,men,1 most deprived,2003,70928
25,men,1 most deprived,2003,69683
26,men,1 most deprived,2003,69832
27,men,1 most deprived,2003,72867
28,men,1 most deprived,2003,74243
29,men,1 most deprived,2003,74963
30,men,1 most deprived,2003,78005
31,men,1 most deprived,2003,79740
32,men,1 most deprived,2003,80979
33,men,1 most deprived,2003,79661
34,men,1 most deprived,2003,79883
35,men,1 most deprived,2003,79393
36,men,1 most deprived,2003,79467
37,men,1 most deprived,2003,77509
38,men,1 most deprived,2003,75564
39,men,1 most deprived,2003,74104
40,men,1 most deprived,2003,72066
41,men,1 most deprived,2003,69479
42,men,1 most deprived,2003,66957
43,men,1 most deprived,2003,64508
44,men,1 most deprived,2003,61844
45,men,1 most deprived,2003,61225
46,men,1 most deprived,2003,58258
47,men,1 most deprived,2003,55244
48,men,1 most deprived,2003,53040
49,men,1 most deprived,2003,52814
50,men,1 most deprived,2003,53199
51,men,1 most deprived,2003,52153
52,men,1 most deprived,2003,51076
53,men,1 most deprived,2003,51536
54,men,1 most deprived,2003,52033
55,men,1 most deprived,2003,54409
56,men,1 most deprived,2003,56083
57,men,1 most deprived,2003,45490
58,men,1 most deprived,2003,43793
59,men,1 most deprived,2003,42849
60,men,1 most deprived,2003,42093
61,men,1 most deprived,2003,39602
62,men,1 most deprived,2003,38588
