age,sex,qimd,year,pops
0,1,1,2001,72112.7080574728
1,1,1,2001,72799.922321777
2,1,1,2001,73392.9393017677
3,1,1,2001,73911.6551076934
4,1,1,2001,74376.8673855105
5,1,1,2001,74810.0894062802
6,1,1,2001,75233.424027674
7,1,1,2001,75665.3846674704
8,1,1,2001,76074.0226869211
9,1,1,2001,76392.3817698212
10,1,1,2001,76551.9823939302
11,1,1,2001,76484.5551597106
12,1,1,2001,76123.7460089241
13,1,1,2001,75407.3799508285
14,1,1,2001,74281.2085439651
15,1,1,2001,72782.2939327686
16,1,1,2001,71089.3501023149
17,1,1,2001,69382.3745794199
18,1,1,2001,67825.5572039986
19,1,1,2001,66568.8357892076
20,1,1,2001,65753.022094933
21,1,1,2001,65518.119679509
22,1,1,2001,65973.7885145729
23,1,1,2001,67048.7834817586
24,1,1,2001,68622.1059734408
25,1,1,2001,70572.4070381159
26,1,1,2001,72769.2090287104
27,1,1,2001,75066.5232329355
28,1,1,2001,77299.1929354186
29,1,1,2001,79286.5029386423
30,1,1,2001,80898.494302059
31,1,1,2001,82056.214051932
32,1,1,2001,82686.3816810118
33,1,1,2001,82723.6312168946
34,1,1,2001,82114.5081084737
35,1,1,2001,80821.4279697357
36,1,1,2001,78826.7217550131
37,1,1,2001,76207.225638777
38,1,1,2001,73198.9740681551
39,1,1,2001,70036.1763562177
40,1,1,2001,66922.3040597314
41,1,1,2001,64028.422048324
42,1,1,2001,61496.5289117879
43,1,1,2001,59446.5603770607
44,1,1,2001,57957.2642647711
45,1,1,2001,56934.4653551153
46,1,1,2001,56235.035742934
47,1,1,2001,55728.8698583314
48,1,1,2001,55293.2605522122
49,1,1,2001,54810.0301303364
50,1,1,2001,54165.272161596
51,1,1,2001,53255.539489287
52,1,1,2001,52078.0574000673
53,1,1,2001,50723.2750982773
54,1,1,2001,49280.0871735399
55,1,1,2001,47829.5683073463
56,1,1,2001,46444.1921564787
57,1,1,2001,45188.2443614498
58,1,1,2001,44119.1563008559
59,1,1,2001,43259.9579906158
60,1,1,2001,42556.2759759135
