"year","sex","age","qimd","pops"
2001,1,0,1,71055
2001,1,0,2,58555
2001,1,0,3,52371
2001,1,0,4,50584
2001,1,0,5,52157
2001,1,1,1,72776
2001,1,1,2,59346
2001,1,1,3,53708
2001,1,1,4,52864
2001,1,1,5,54456
2001,1,2,1,73773
2001,1,2,2,60333
2001,1,2,3,55243
2001,1,2,4,54311
2001,1,2,5,56980
2001,1,3,1,74622
2001,1,3,2,61279
2001,1,3,3,55728
2001,1,3,4,55096
2001,1,3,5,58491
2001,1,4,1,76143
2001,1,4,2,62618
2001,1,4,3,57692
2001,1,4,4,56479
2001,1,4,5,60061
2001,1,5,1,74484
2001,1,5,2,62275
2001,1,5,3,56986
2001,1,5,4,56697
2001,1,5,5,60489
2001,1,6,1,73756
2001,1,6,2,62048
2001,1,6,3,57769
2001,1,6,4,57433
2001,1,6,5,61496
2001,1,7,1,74733
2001,1,7,2,63495
2001,1,7,3,59036
2001,1,7,4,59070
2001,1,7,5,63201
2001,1,8,1,75900
2001,1,8,2,64242
2001,1,8,3,59624
2001,1,8,4,59638
2001,1,8,5,63677
2001,1,9,1,77453
2001,1,9,2,65952
2001,1,9,3,61561
2001,1,9,4,62038
2001,1,9,5,65942
2001,1,10,1,78111
2001,1,10,2,66683
2001,1,10,3,63079
2001,1,10,4,63370
2001,1,10,5,67415
2001,1,11,1,76192
2001,1,11,2,65350
2001,1,11,3,62149
2001,1,11,4,62750
2001,1,11,5,66771
2001,1,12,1,74505
2001,1,12,2,64578
2001,1,12,3,61270
2001,1,12,4,62503
2001,1,12,5,66148
2001,1,13,1,75101
2001,1,13,2,65162
2001,1,13,3,62251
2001,1,13,4,63302
2001,1,13,5,67357
2001,1,14,1,73221
2001,1,14,2,63399
2001,1,14,3,60987
2001,1,14,4,61317
2001,1,14,5,65359
2001,1,15,1,72788
2001,1,15,2,62515
2001,1,15,3,59519
2001,1,15,4,61206
2001,1,15,5,64791
2001,1,16,1,72899
2001,1,16,2,63244
2001,1,16,3,60453
2001,1,16,4,61998
2001,1,16,5,65737
2001,1,17,1,68206
2001,1,17,2,59745
2001,1,17,3,58362
2001,1,17,4,60600
2001,1,17,5,65643
2001,1,18,1,65424
2001,1,18,2,58891
2001,1,18,3,57618
2001,1,18,4,59248
2001,1,18,5,62526
2001,1,19,1,65575
2001,1,19,2,60751
2001,1,19,3,57562
2001,1,19,4,57340
2001,1,19,5,55825
2001,1,20,1,69128
2001,1,20,2,67637
2001,1,20,3,62036
2001,1,20,4,57303
2001,1,20,5,51642
2001,1,21,1,70112
2001,1,21,2,69561
2001,1,21,3,62663
2001,1,21,4,56592
2001,1,21,5,50195
2001,1,22,1,67289
2001,1,22,2,67443
2001,1,22,3,60121
2001,1,22,4,55417
2001,1,22,5,49590
2001,1,23,1,64629
2001,1,23,2,65007
2001,1,23,3,58154
2001,1,23,4,52206
2001,1,23,5,48029
2001,1,24,1,64934
2001,1,24,2,66729
2001,1,24,3,58806
2001,1,24,4,51994
2001,1,24,5,47111
2001,1,25,1,69348
2001,1,25,2,70887
2001,1,25,3,61844
2001,1,25,4,53347
2001,1,25,5,46917
2001,1,26,1,71523
2001,1,26,2,74478
2001,1,26,3,65385
2001,1,26,4,55974
2001,1,26,5,48583
2001,1,27,1,73447
2001,1,27,2,76871
2001,1,27,3,67501
2001,1,27,4,58312
2001,1,27,5,50860
