age,in_incidence_rates,in_prevalence_rates,in_remission_rates,in_mortality_rates,out_incidence_rates,out_prevalence_rates,out_remission_rates,out_case_fatality_rates,out_duration_years,out_mortality_rates,out_rr_mortality_number,out_age_of_onset_years,disease,sex,in_case_fatality_rates,qimd
20,0.0005203874,0.0007442836,0,2.5262e-06,8.65709e-05,0.0007442836,0,0.0033940549,37.127189305,2.5262e-06,6.8963028718,20.5,chd,men,,1 most deprived
21,0.0005816252,0.0008629949,0,3.7561e-06,0.0001013839,0.0008629949,0,0.0043522018,36.2915247949,3.7561e-06,7.735293099,21.5,chd,men,,1 most deprived
22,0.0006451827,0.0010001884,0,5.53e-06,0.0001180153,0.0010001884,0,0.00552862,35.4927672052,5.53e-06,8.828992817,22.5,chd,men,,1 most deprived
23,0.0007079179,0.0011585698,0,7.9538e-06,0.0001383581,0.0011585698,0,0.0068647489,34.7355044693,7.9538e-06,10.1427679836,23.5,chd,men,,1 most deprived
24,0.0007671968,0.0013411957,0,1.09247e-05,0.0001608302,0.0013411957,0,0.0081448833,34.0193475521,1.09247e-05,11.4107240658,24.5,chd,men,,1 most deprived
25,0.0008241693,0.0015515092,0,1.41308e-05,0.0001872276,0.0015515092,0,0.0091070168,33.3360464846,1.41308e-05,12.2953264923,25.5,chd,men,,1 most deprived
26,0.0008799855,0.0017933857,0,1.72512e-05,0.0002156963,0.0017933857,0,0.0096184835,32.6714592818,1.72512e-05,12.5969504407,26.5,chd,men,,1 most deprived
27,0.0009357954,0.0020711776,0,1.99649e-05,0.0002481923,0.0020711776,0,0.009638525,32.009559667,1.99649e-05,12.2138486142,27.5,chd,men,,1 most deprived
28,0.0009927491,0.0023897487,0,2.19828e-05,0.0002828063,0.0023897487,0,0.0091980076,31.3351811099,2.19828e-05,11.177808323,28.5,chd,men,,1 most deprived
29,0.0010519966,0.0027545143,0,2.37481e-05,0.0003224267,0.0027545143,0,0.008620824,30.6395534386,2.37481e-05,9.9537106242,29.5,chd,men,,1 most deprived
30,0.0011146881,0.0031714863,0,2.64361e-05,0.0003665558,0.0031714863,0,0.0083349227,29.9258277764,2.64361e-05,9.0465109768,30.5,chd,men,,1 most deprived
31,0.0011819734,0.0036475355,0,3.12542e-05,0.0004195056,0.0036475355,0,0.008567897,29.2067073546,3.12542e-05,8.6395997787,31.5,chd,men,,1 most deprived
32,0.0012550028,0.0041906738,0,3.94095e-05,0.0004812105,0.0041906738,0,0.0094032779,28.4985714504,3.94095e-05,8.7212064431,32.5,chd,men,,1 most deprived
33,0.0013349262,0.0048100143,0,5.20668e-05,0.0005559688,0.0048100143,0,0.010823587,27.81762888,5.20668e-05,9.181203189,33.5,chd,men,,1 most deprived
34,0.0014228937,0.005515907,0,6.94137e-05,0.000642804,0.005515907,0,0.0125828375,27.1754856414,6.94137e-05,9.7443914334,34.5,chd,men,,1 most deprived
35,0.0015153744,0.0063201076,0,9.06608e-05,0.0007444755,0.0063201076,0,0.0143429592,26.5753489202,9.06608e-05,10.137448388,35.5,chd,men,,1 most deprived
36,0.0016083652,0.0072356315,0,0.0001149762,0.0008584518,0.0072356315,0,0.0158880016,26.0131461964,0.0001149762,10.2360427291,36.5,chd,men,,1 most deprived
37,0.0017023075,0.0082764592,0,0.0001415279,0.0009869492,0.0082764592,0,0.0170974218,25.4808939774,0.0001415279,10.0123542008,37.5,chd,men,,1 most deprived
38,0.001797643,0.0094579384,0,0.0001695318,0.0011280988,0.0094579384,0,0.0179219322,24.9690433344,0.0001695318,9.5069322592,38.5,chd,men,,1 most deprived
39,0.001894813,0.0107968957,0,0.0001993042,0.0012855569,0.0107968957,0,0.0184563449,24.4690808957,0.0001993042,8.863004617,39.5,chd,men,,1 most deprived
40,0.0019942593,0.0123116903,0,0.0002322618,0.0014596057,0.0123116903,0,0.0188619589,23.9758243132,0.0002322618,8.2228232891,40.5,chd,men,,1 most deprived
41,0.0020964233,0.0140217637,0,0.000269869,0.0016542988,0.0140217637,0,0.0192431342,23.4872098467,0.000269869,7.6641467637,41.5,chd,men,,1 most deprived
42,0.0022017466,0.0159466409,0,0.0003135905,0.0018679624,0.0159466409,0,0.0196615527,23.0028138534,0.0003135905,7.2252213015,42.5,chd,men,,1 most deprived
43,0.0023106706,0.0181062219,0,0.0003648642,0.0021054093,0.0181062219,0,0.0201477314,22.5228404857,0.0003648642,6.9142778405,43.5,chd,men,,1 most deprived
44,0.002423637,0.0205205354,0,0.0004245206,0.0023638831,0.0205205354,0,0.0206838529,22.0474224896,0.0004245206,6.6895146396,44.5,chd,men,,1 most deprived
45,0.0025410873,0.0232092904,0,0.0004927823,0.0026462544,0.0232092904,0,0.0212282075,21.5761688296,0.0004927823,6.5032133667,45.5,chd,men,,1 most deprived
46,0.0026588346,0.0261913991,0,0.0005698456,0.0029482355,0.0261913991,0,0.0217529233,21.1082388211,0.0005698456,6.3190290413,46.5,chd,men,,1 most deprived
47,0.0027726814,0.0294845228,0,0.0006559067,0.0032719477,0.0294845228,0,0.02224162,20.6427309585,0.0006559067,6.1086568877,47.5,chd,men,,1 most deprived
48,0.0028830528,0.033104292,0,0.0007511573,0.0036115926,0.033104292,0,0.0226863601,20.1789433345,0.0007511573,5.8560603795,48.5,chd,men,,1 most deprived
49,0.0029903742,0.0370635171,0,0.0008556847,0.0039678099,0.0370635171,0,0.0230826418,19.7163282131,0.0008556847,5.570763337,49.5,chd,men,,1 most deprived
50,0.0030950707,0.041371372,0,0.0009694718,0.004333052,0.041371372,0,0.0234290271,19.2543399876,0.0009694718,5.2675262428,50.5,chd,men,,1 most deprived
51,0.0031975676,0.0460325126,0,0.0010924969,0.0047063566,0.0460325126,0,0.0237287877,18.7924526811,0.0010924969,4.9598679901,51.5,chd,men,,1 most deprived
52,0.0032982902,0.0510460967,0,0.0012247384,0.0050783575,0.0510460967,0,0.0239884564,18.3302059154,0.0012247384,4.6591894024,52.5,chd,men,,1 most deprived
53,0.0033976637,0.0564050262,0,0.001366172,0.0054468822,0.0564050262,0,0.024216478,17.8672195253,0.001366172,4.3737611327,53.5,chd,men,,1 most deprived
54,0.0034961133,0.0620952368,0,0.0015167159,0.0058011385,0.0620952368,0,0.0244214645,17.4032188053,0.0015167159,4.1071759248,54.5,chd,men,,1 most deprived
55,0.0035940644,0.0680950842,0,0.0016762305,0.0061378047,0.0680950842,0,0.0246119733,16.9380524663,0.0016762305,3.861195022,55.5,chd,men,,1 most deprived
56,0.003691942,0.0743788793,0,0.0018445737,0.0064536334,0.0743788793,0,0.0247957828,16.4716616604,0.0018445737,3.6366222515,56.5,chd,men,,1 most deprived
57,0.0037901716,0.0809371545,0,0.0020216035,0.006789186,0.0809371545,0,0.0249736494,16.0039806612,0.0020216035,3.4329288895,57.5,chd,men,,1 most deprived
58,0.0038831998,0.0877688077,0,0.0022072364,0.0071220724,0.0877688077,0,0.0251446215,15.5348488589,0.0022072364,3.2485983207,58.5,chd,men,,1 most deprived
