"age","sex","prvl","lci","uci"
0,1,0,0,0
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0.0002,5E-05,0.000583333333333
17,1,0.0002,5E-05,0.000583333333333
18,1,0.0002,5E-05,0.000583333333333
19,1,0.0002,5E-05,0.000583333333333
20,1,0.0002,5E-05,0.000583333333333
21,1,0.0002,5E-05,0.000583333333333
22,1,0.0002,5E-05,0.000583333333333
23,1,0.0002,5E-05,0.000583333333333
24,1,0.0002,5E-05,0.000583333333333
25,1,0.0002,5E-05,0.000583333333333
26,1,0.0002,5E-05,0.000583333333333
27,1,0.0002,5E-05,0.000583333333333
28,1,0.0002,5E-05,0.000583333333333
29,1,0.0002,5E-05,0.000583333333333
30,1,0.0002,5E-05,0.000583333333333
31,1,0.0002,5E-05,0.000583333333333
32,1,0.0002,5E-05,0.000583333333333
33,1,0.0002,5E-05,0.000583333333333
34,1,0.0002,5E-05,0.000583333333333
35,1,0.0002,5E-05,0.000583333333333
36,1,0.0002,5E-05,0.000583333333333
37,1,0.0002,5E-05,0.000583333333333
38,1,0.0002,5E-05,0.000583333333333
39,1,0.0002,5E-05,0.000583333333333
40,1,0.0002,5E-05,0.000583333333333
41,1,0.0002,5E-05,0.000583333333333
42,1,0.0002,5E-05,0.000583333333333
43,1,0.0002,5E-05,0.000583333333333
44,1,0.0002,5E-05,0.000583333333333
45,1,0.0058,0.0023,0.012
46,1,0.0058,0.0023,0.012
47,1,0.0058,0.0023,0.012
48,1,0.0058,0.0023,0.012
49,1,0.0058,0.0023,0.012
50,1,0.0058,0.0023,0.012
51,1,0.0058,0.0023,0.012
52,1,0.0058,0.0023,0.012
53,1,0.0058,0.0023,0.012
54,1,0.0058,0.0023,0.012
55,1,0.0058,0.0023,0.012
56,1,0.0058,0.0023,0.012
57,1,0.0058,0.0023,0.012
58,1,0.0058,0.0023,0.012
59,1,0.0058,0.0023,0.012
60,1,0.0058,0.0023,0.012
61,1,0.0058,0.0023,0.012
62,1,0.0058,0.0023,0.012
63,1,0.0058,0.0023,0.012
64,1,0.0058,0.0023,0.012
65,1,0.0114,0.0049,0.0224
66,1,0.0114,0.0049,0.0224
67,1,0.0114,0.0049,0.0224
68,1,0.0114,0.0049,0.0224
69,1,0.0114,0.0049,0.0224
70,1,0.0114,0.0049,0.0224
71,1,0.0114,0.0049,0.0224
72,1,0.0114,0.0049,0.0224
73,1,0.0114,0.0049,0.0224
74,1,0.0114,0.0049,0.0224
75,1,0.0218,0.0109,0.039
76,1,0.0218,0.0109,0.039
77,1,0.0218,0.0109,0.039
78,1,0.0218,0.0109,0.039
79,1,0.0218,0.0109,0.039
80,1,0.0218,0.0109,0.039
81,1,0.0218,0.0109,0.039
82,1,0.0218,0.0109,0.039
83,1,0.0218,0.0109,0.039
84,1,0.0218,0.0109,0.039
85,1,0.0218,0.0109,0.039
86,1,0.0218,0.0109,0.039
87,1,0.0218,0.0109,0.039
88,1,0.0218,0.0109,0.039
89,1,0.0218,0.0109,0.039
90,1,0.0218,0.0109,0.039
91,1,0.0218,0.0109,0.039
92,1,0.0218,0.0109,0.039
93,1,0.0218,0.0109,0.039
94,1,0.0218,0.0109,0.039
95,1,0.0218,0.0109,0.039
96,1,0.0218,0.0109,0.039
97,1,0.0218,0.0109,0.039
98,1,0.0218,0.0109,0.039
99,1,0.0218,0.0109,0.039
0,2,0,0,0
1,2,0,0,0
2,2,0,0,0
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,2,0,0,0
8,2,0,0,0
9,2,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0.0012,0.0003,0.0035
17,2,0.0012,0.0003,0.0035
18,2,0.0012,0.0003,0.0035
19,2,0.0012,0.0003,0.0035
20,2,0.0012,0.0003,0.0035
21,2,0.0012,0.0003,0.0035
22,2,0.0012,0.0003,0.0035
23,2,0.0012,0.0003,0.0035
24,2,0.0012,0.0003,0.0035
25,2,0.0012,0.0003,0.0035
26,2,0.0012,0.0003,0.0035
27,2,0.0012,0.0003,0.0035
28,2,0.0012,0.0003,0.0035
29,2,0.0012,0.0003,0.0035
30,2,0.0012,0.0003,0.0035
31,2,0.0012,0.0003,0.0035
32,2,0.0012,0.0003,0.0035
33,2,0.0012,0.0003,0.0035
34,2,0.0012,0.0003,0.0035
35,2,0.0012,0.0003,0.0035
36,2,0.0012,0.0003,0.0035
37,2,0.0012,0.0003,0.0035
38,2,0.0012,0.0003,0.0035
39,2,0.0012,0.0003,0.0035
40,2,0.0012,0.0003,0.0035
41,2,0.0012,0.0003,0.0035
42,2,0.0012,0.0003,0.0035
43,2,0.0012,0.0003,0.0035
44,2,0.0012,0.0003,0.0035
45,2,0.0167,0.0091,0.028
46,2,0.0167,0.0091,0.028
47,2,0.0167,0.0091,0.028
48,2,0.0167,0.0091,0.028
49,2,0.0167,0.0091,0.028
50,2,0.0167,0.0091,0.028
51,2,0.0167,0.0091,0.028
52,2,0.0167,0.0091,0.028
53,2,0.0167,0.0091,0.028
54,2,0.0167,0.0091,0.028
55,2,0.0167,0.0091,0.028
56,2,0.0167,0.0091,0.028
57,2,0.0167,0.0091,0.028
58,2,0.0167,0.0091,0.028
59,2,0.0167,0.0091,0.028
60,2,0.0167,0.0091,0.028
61,2,0.0167,0.0091,0.028
62,2,0.0167,0.0091,0.028
63,2,0.0167,0.0091,0.028
64,2,0.0167,0.0091,0.028
65,2,0.0256,0.0128,0.0458
66,2,0.0256,0.0128,0.0458
67,2,0.0256,0.0128,0.0458
68,2,0.0256,0.0128,0.0458
69,2,0.0256,0.0128,0.0458
70,2,0.0256,0.0128,0.0458
71,2,0.0256,0.0128,0.0458
72,2,0.0256,0.0128,0.0458
73,2,0.0256,0.0128,0.0458
74,2,0.0256,0.0128,0.0458
75,2,0.0299,0.0155,0.0523
76,2,0.0299,0.0155,0.0523
77,2,0.0299,0.0155,0.0523
78,2,0.0299,0.0155,0.0523
79,2,0.0299,0.0155,0.0523
80,2,0.0299,0.0155,0.0523
81,2,0.0299,0.0155,0.0523
82,2,0.0299,0.0155,0.0523
83,2,0.0299,0.0155,0.0523
84,2,0.0299,0.0155,0.0523
85,2,0.0299,0.0155,0.0523
86,2,0.0299,0.0155,0.0523
87,2,0.0299,0.0155,0.0523
88,2,0.0299,0.0155,0.0523
89,2,0.0299,0.0155,0.0523
90,2,0.0299,0.0155,0.0523
91,2,0.0299,0.0155,0.0523
92,2,0.0299,0.0155,0.0523
93,2,0.0299,0.0155,0.0523
94,2,0.0299,0.0155,0.0523
95,2,0.0299,0.0155,0.0523
96,2,0.0299,0.0155,0.0523
97,2,0.0299,0.0155,0.0523
98,2,0.0299,0.0155,0.0523
99,2,0.0299,0.0155,0.0523
