CCG17CDH,expected_prevalence,QOF_prevalence,Ratio_expected_to_observed
02W,1.02,0.42,2.411963338
08M,1.10,0.48,2.27998176
07P,1.58,0.74,2.127659574
08N,1.82,0.91,1.983339944
08W,1.53,0.78,1.945525292
08D,1.48,0.76,1.940617116
08K,1.27,0.65,1.932740626
08L,1.50,0.79,1.879699248
08V,0.99,0.53,1.858045336
07V,1.92,1.03,1.856320772
04C,1.70,0.93,1.817190623
10T,1.46,0.80,1.811594203
08Q,1.29,0.71,1.808645325
07L,1.46,0.81,1.786990708
07T,1.18,0.66,1.755309812
07X,1.93,1.09,1.752848379
08X,1.35,0.77,1.747030049
08Y,1.75,1.01,1.72146669
08R,1.81,1.05,1.714677641
06P,1.73,1.01,1.713502399
08E,2.10,1.22,1.70998632
07Y,1.62,0.95,1.697216565
08J,1.91,1.13,1.676164935
00W,1.24,0.74,1.674761347
08A,1.58,0.94,1.668891856
05L,1.86,1.12,1.662234043
04X,1.70,1.02,1.659751037
10W,1.47,0.88,1.658374793
08F,2.58,1.56,1.651527663
07W,1.63,0.98,1.650165017
07M,2.06,1.25,1.643385374
00Y,2.11,1.29,1.632120124
07G,2.00,1.23,1.62022035
01M,1.61,0.99,1.62022035
08H,1.38,0.85,1.609010459
05A,2.17,1.35,1.60436387
10L,3.57,2.24,1.590583744
03F,2.18,1.36,1.590330789
00V,2.38,1.51,1.577038322
08T,2.20,1.39,1.575547503
08G,1.98,1.26,1.568135487
04F,1.81,1.15,1.568135487
03K,2.80,1.78,1.565925462
99F,3.11,1.99,1.558846454
01D,2.18,1.40,1.552312946
06W,2.42,1.56,1.549186677
08C,1.45,0.93,1.54822728
08P,2.06,1.32,1.546551191
06Q,2.70,1.74,1.544878727
10G,2.17,1.40,1.544401544
10N,2.40,1.56,1.539645881
02T,2.40,1.56,1.538461538
09A,1.60,1.04,1.533977604
05H,2.67,1.73,1.532801962
00Q,2.04,1.33,1.531628121
13P,2.14,1.40,1.530456076
99G,2.66,1.74,1.529051988
06A,2.39,1.56,1.528584531
04L,2.76,1.80,1.528350909
04K,1.69,1.10,1.528117359
09W,2.22,1.46,1.517911354
03J,2.17,1.43,1.515151515
07N,2.42,1.59,1.513775356
10J,2.41,1.59,1.512859304
03A,2.37,1.56,1.511715797
11D,2.46,1.62,1.510802236
06M,3.25,2.15,1.509206158
10D,2.46,1.62,1.508295626
07R,1.44,0.95,1.508295626
