 age,eq5d_r,sex,productivity_cost
16,0,men,2562.058092
16,0.05,men,2878.298898
16,0.1,men,3221.808435
16,0.15,men,3593.12538
16,0.2,men,3992.522154
16,0.25,men,4419.975596
16,0.3,men,4875.142314
16,0.35,men,5357.339957
16,0.4,men,5865.535471
16,0.45,men,6398.341189
16,0.5,men,6954.019273
16,0.55,men,7530.494698
16,0.6,men,8125.376564
16,0.65,men,8735.987161
16,0.7,men,9359.397829
16,0.75,men,9992.470382
16,0.8,men,10631.9026
16,0.85,men,11274.2762
16,0.9,men,11916.10559
16,0.95,men,12553.88577
16,1,men,13184.13805
17,0,men,2746.455648
17,0.05,men,3082.923957
17,0.1,men,3447.716808
17,0.15,men,3841.228
17,0.2,men,4263.550448
17,0.25,men,4714.448107
17,0.3,men,5193.33407
17,0.35,men,5699.256144
17,0.4,men,6230.890918
17,0.45,men,6786.54703
17,0.5,men,7364.177911
17,0.55,men,7961.40386
17,0.6,men,8575.542834
17,0.65,men,9203.648923
17,0.7,men,9842.55709
17,0.75,men,10488.93251
17,0.8,men,11139.32262
17,0.85,men,11790.21
17,0.9,men,12438.06419
17,0.95,men,13079.39073
17,1,men,13710.77608
18,0,men,4377.396608
18,0.05,men,4909.02257
18,0.1,men,5484.16721
18,0.15,men,6103.142003
18,0.2,men,6765.75648
18,0.25,men,7471.280352
18,0.3,men,8218.417437
18,0.35,men,9005.293235
18,0.4,men,9829.457524
18,0.45,men,10687.90258
18,0.5,men,11577.09695
18,0.55,men,12493.0338
18,0.6,men,13431.29221
18,0.65,men,14387.10911
18,0.7,men,15355.45891
18,0.75,men,16331.13775
18,0.8,men,17308.84898
18,0.85,men,18283.28683
18,0.9,men,19249.21524
18,0.95,men,20201.53941
18,1,men,21135.36821
19,0,men,4702.568426
19,0.05,men,5268.029449
19,0.1,men,5878.309216
19,0.15,men,6533.382992
19,0.2,men,7232.666814
19,0.25,men,7974.985929
19,0.3,men,8758.557962
19,0.35,men,9580.992508
19,0.4,men,10439.30807
19,0.45,men,11329.96642
19,0.5,men,12248.92345
19,0.55,men,13191.69476
19,0.6,men,14153.43342
19,0.65,men,15129.01658
19,0.7,men,16113.13741
19,0.75,men,17100.39851
19,0.8,men,18085.40315
19,0.85,men,19062.84102
19,0.9,men,20027.56557
19,0.95,men,20974.66088
19,1,men,21899.4965
20,0,men,4913.224344
20,0.05,men,5497.425957
20,0.1,men,6126.255734
20,0.15,men,6799.299
20,0.2,men,7515.541809
20,0.25,men,8273.349301
20,0.3,men,9070.461435
20,0.35,men,9904.007372
20,0.4,men,10770.53879
20,0.45,men,11666.08135
20,0.5,men,12586.20252
20,0.55,men,13526.09297
20,0.6,men,14480.65799
20,0.65,men,15444.61505
20,0.7,men,16412.59308
20,0.75,men,17379.22949
20,0.8,men,18339.26116
20,0.85,men,19287.6062
20,0.9,men,20219.43405
20,0.95,men,21130.22241
20,1,men,22015.80014
21,0,men,5285.773339
21,0.05,men,5906.484258
21,0.1,men,6572.673298
21,0.15,men,7283.47045
21,0.2,men,8037.352842
21,0.25,men,8832.135388
21,0.3,men,9664.981951
21,0.35,men,10532.43763
21,0.4,men,11430.48157
21,0.45,men,12354.59852
21,0.5,men,13299.86598
21,0.55,men,14261.05333
21,0.6,men,15232.72804
21,0.65,men,16209.36444
21,0.7,men,17185.4501
21,0.75,men,18155.58556
21,0.8,men,19114.57371
21,0.85,men,20057.49611
21,0.9,men,20979.77432
21,0.95,men,21877.21552
21,1,men,22746.04234
22,0,men,7190.093838
22,0.05,men,8022.958143
22,0.1,men,8914.049041
22,0.15,men,9861.611728
22,0.2,men,10863.00479
22,0.25,men,11914.70838
22,0.3,men,13012.36203
22,0.35,men,14150.83179
22,0.4,men,15324.30435
22,0.45,men,16526.40427
22,0.5,men,17750.32885
22,0.55,men,18988.99427
22,0.6,men,20235.18587
22,0.65,men,21481.70589
22,0.7,men,22721.51211
22,0.75,men,23947.8421
22,0.8,men,25154.31895
22,0.85,men,26335.03583
22,0.9,men,27484.61817
22,0.95,men,28598.26348
22,1,men,29671.76025
23,0,men,7673.679162
23,0.05,men,8549.486504
23,0.1,men,9483.405509
23,0.15,men,10472.97285
23,0.2,men,11514.79502
23,0.25,men,12604.58069
23,0.3,men,13737.20571
23,0.35,men,14906.80868
23,0.4,men,16106.91322
23,0.45,men,17330.57112
23,0.5,men,18570.5192
23,0.55,men,19819.34221
23,0.6,men,21069.63371
23,0.65,men,22314.14786
23,0.7,men,23545.93556
23,0.75,men,24758.46044
23,0.8,men,25945.69133
23,0.85,men,27102.16997
23,0.9,men,28223.0538
23,0.95,men,29304.13552
23,1,men,30341.84164
24,0,men,8158.046011
24,0.05,men,9074.497704
24,0.1,men,10048.34411
24,0.15,men,11076.37268
24,0.2,men,12154.41471
24,0.25,men,13277.40543
24,0.3,men,14439.4786
24,0.35,men,15634.0917
24,0.4,men,16854.17583
24,0.45,men,18092.30262
24,0.5,men,19340.85943
24,0.55,men,20592.22407
24,0.6,men,21838.93058
24,0.65,men,23073.81873
24,0.7,men,24290.16181
24,0.75,men,25481.76867
24,0.8,men,26643.05845
24,0.85,men,27769.10785
24,0.9,men,28855.67252
24,0.95,men,29899.18526
24,1,men,30896.73453
25,0,men,10282.66258
25,0.05,men,11418.61951
25,0.1,men,12621.34646
25,0.15,men,13886.10345
25,0.2,men,15207.00544
25,0.25,men,16577.12993
25,0.3,men,17988.66617
25,0.35,men,19433.09901
25,0.4,men,20901.41772
25,0.45,men,22384.33865
25,0.5,men,23872.52973
25,0.55,men,25356.82561
25,0.6,men,26828.42327
25,0.65,men,28279.0502
25,0.7,men,29701.09973
25,0.75,men,31087.73068
25,0.8,men,32432.93106
25,0.85,men,33731.54764
25,0.9,men,34979.285
25,0.95,men,36172.67853
25,1,men,37309.04666
26,0,men,11020.39359
26,0.05,men,12216.7904
26,0.1,men,13478.81366
26,0.15,men,14800.71691
26,0.2,men,16175.60899
26,0.25,men,17595.60152
26,0.3,men,19051.99758
26,0.35,men,20535.51159
26,0.4,men,22036.50823
26,0.45,men,23545.24719
26,0.5,men,25052.1206
26,0.55,men,26547.8715
26,0.6,men,28023.78348
26,0.65,men,29471.83501
26,0.7,men,30884.81453
26,0.75,men,32256.39547
26,0.8,men,33581.1731
26,0.85,men,34854.66677
26,0.9,men,36073.29276
26,0.95,men,37234.31349
26,1,men,38335.76924
