alcohol,sex,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
 72,1,"1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)","1.091 (0.933 to 1.271)"
 60,1,"0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)","0.993 (0.883 to 1.105)"
 48,1,"0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)","0.906 (0.797 to 1.035)"
 36,1,"0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)","0.871 (0.788 to 0.964)"
 24,1,"0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)","0.857 (0.779 to 0.943)"
 12,1,"0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)","0.865 (0.79 to 0.948)"
 0,1,"1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)"
 72,2,"1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)","1.107 (0.894 to 1.341)"
 60,2,"1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)","1.012 (0.869 to 1.174)"
 48,2,"0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)","0.932 (0.786 to 1.113)"
