alcohol,sex,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
 72,1,"1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)","1.451 (1.228 to 1.69)"
 60,1,"1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)","1.312 (1.167 to 1.471)"
 48,1,"1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)","1.159 (0.98 to 1.353)"
 36,1,"1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)","1.057 (0.931 to 1.192)"
 24,1,"0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)","0.97 (0.862 to 1.088)"
 12,1,"0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)","0.938 (0.83 to 1.054)"
 0,1,"1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)"
 72,2,"1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)","1.43 (1.147 to 1.771)"
 60,2,"1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)","1.3 (1.121 to 1.496)"
 48,2,"1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)","1.145 (0.946 to 1.359)"
 36,2,"0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)","0.985 (0.834 to 1.149)"
 24,2,"0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)","0.85 (0.726 to 0.985)"
 12,2,"0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)","0.824 (0.718 to 0.939)"
 0,2,"1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)"
 
