agegroup,active_days,mean.rr,ci.rr
30-34,0,1.25,1.3
35-39,0,1.25,1.3
40-44,0,1.25,1.3
45-49,0,1.34,1.39
50-54,0,1.34,1.39
55-59,0,1.34,1.39
60-64,0,1.34,1.39
65-69,0,1.34,1.39
70-74,0,1.25,1.3
75-79,0,1.25,1.3
80-84,0,1.16,1.2
30-34,1,1.25,1.3
35-39,1,1.25,1.3
40-44,1,1.25,1.3
45-49,1,1.34,1.39
50-54,1,1.34,1.39
55-59,1,1.34,1.39
60-64,1,1.34,1.39
65-69,1,1.34,1.39
70-74,1,1.25,1.3
75-79,1,1.25,1.3
80-84,1,1.16,1.2
30-34,2,1.13,1.22
35-39,2,1.13,1.22
40-44,2,1.13,1.22
45-49,2,1.13,1.22
50-54,2,1.13,1.22
55-59,2,1.13,1.22
60-64,2,1.13,1.22
65-69,2,1.13,1.22
70-74,2,1.09,1.18
75-79,2,1.09,1.18
80-84,2,1,1
30-34,3,1.13,1.22
35-39,3,1.13,1.22
40-44,3,1.13,1.22
45-49,3,1.13,1.22
50-54,3,1.13,1.22
55-59,3,1.13,1.22
60-64,3,1.13,1.22
65-69,3,1.13,1.22
70-74,3,1.09,1.18
75-79,3,1.09,1.18
80-84,3,1,1
30-34,4,1.13,1.22
35-39,4,1.13,1.22
40-44,4,1.13,1.22
45-49,4,1.13,1.22
50-54,4,1.13,1.22
55-59,4,1.13,1.22
60-64,4,1.13,1.22
65-69,4,1.13,1.22
70-74,4,1.09,1.18
75-79,4,1.09,1.18
80-84,4,1,1
