agegroup,active_days,mean.rr,ci.rr
30-34,0,1.71,1.85
35-39,0,1.71,1.85
40-44,0,1.71,1.85
45-49,0,1.71,1.85
50-54,0,1.71,1.85
55-59,0,1.71,1.85
60-64,0,1.71,1.85
65-69,0,1.71,1.85
70-74,0,1.5,1.61
75-79,0,1.5,1.61
80-84,0,1.4,1.41
30-34,1,1.44,1.62
35-39,1,1.44,1.62
40-44,1,1.44,1.62
45-49,1,1.44,1.62
50-54,1,1.44,1.62
55-59,1,1.44,1.62
60-64,1,1.44,1.62
65-69,1,1.44,1.62
70-74,1,1.31,1.48
75-79,1,1.31,1.48
80-84,1,1.2,1.35
30-34,2,1.44,1.62
35-39,2,1.44,1.62
40-44,2,1.44,1.62
45-49,2,1.44,1.62
50-54,2,1.44,1.62
55-59,2,1.44,1.62
60-64,2,1.44,1.62
65-69,2,1.44,1.62
70-74,2,1.31,1.48
75-79,2,1.31,1.48
80-84,2,1.2,1.35
30-34,3,1.44,1.62
35-39,3,1.44,1.62
40-44,3,1.44,1.62
45-49,3,1.44,1.62
50-54,3,1.44,1.62
55-59,3,1.44,1.62
60-64,3,1.44,1.62
65-69,3,1.44,1.62
70-74,3,1.31,1.48
75-79,3,1.31,1.48
80-84,3,1.2,1.35
30-34,4,1.44,1.62
35-39,4,1.44,1.62
40-44,4,1.44,1.62
45-49,4,1.44,1.62
50-54,4,1.44,1.62
55-59,4,1.44,1.62
60-64,4,1.44,1.62
65-69,4,1.44,1.62
70-74,4,1.31,1.48
75-79,4,1.31,1.48
80-84,4,1.2,1.35
