agegroup,sex,smok_status,mean.rr,ci.rr
30-34,1,4,3.12,4.64
35-39,1,4,3.12,4.64
40-44,1,4,3.12,4.64
45-49,1,4,3.12,4.64
50-54,1,4,3.12,4.64
55-59,1,4,3.12,4.64
60-64,1,4,1.87,2.44
65-69,1,4,1.87,2.44
70-74,1,4,1.39,1.77
75-79,1,4,1.39,1.77
80-84,1,4,1.39,1.77
30-34,2,4,4.61,6.37
35-39,2,4,4.61,6.37
40-44,2,4,4.61,6.37
45-49,2,4,4.61,6.37
50-54,2,4,4.61,6.37
55-59,2,4,4.61,6.37
60-64,2,4,2.81,3.58
65-69,2,4,2.81,3.58
70-74,2,4,1.95,2.45
75-79,2,4,1.95,2.45
80-84,2,4,1.95,2.45
